sample_id,fast5_dir,fast5_dirname,ont_barcode
T2-4A,/path/to/all_fast5,all_fast5,barcode01
T2-4B,/path/to/all_fast5,all_fast5,barcode02
T2-4C,/path/to/all_fast5,all_fast5,barcode03
T2-4D,/path/to/all_fast5,all_fast5,barcode04
T2-4E,/path/to/all_fast5,all_fast5,barcode05
T2-4F,/path/to/all_fast5,all_fast5,barcode06
T2-4G,/path/to/all_fast5,all_fast5,barcode07
T2-4H,/path/to/all_fast5,all_fast5,barcode08
T2-5A,/path/to/all_fast5,all_fast5,barcode09
T2-5B,/path/to/all_fast5,all_fast5,barcode10
T2-5C,/path/to/all_fast5,all_fast5,barcode11
T2-5D,/path/to/all_fast5,all_fast5,barcode12
T2-5E,/path/to/all_fast5,all_fast5,barcode13
T2-5F,/path/to/all_fast5,all_fast5,barcode14
T2-5G,/path/to/all_fast5,all_fast5,barcode15
T2-5H,/path/to/all_fast5,all_fast5,barcode16
T2-6A,/path/to/all_fast5,all_fast5,barcode17
T2-6B,/path/to/all_fast5,all_fast5,barcode18
T2-6C,/path/to/all_fast5,all_fast5,barcode19
T2-6D,/path/to/all_fast5,all_fast5,barcode20
T2-6E,/path/to/all_fast5,all_fast5,barcode21
T2-6F,/path/to/all_fast5,all_fast5,barcode22
T2-6G,/path/to/all_fast5,all_fast5,barcode23
T2-6H,/path/to/all_fast5,all_fast5,barcode24
