sample_id,fast5_dir,fast5_dirname,ont_barcode
UT1A,/path/to/all_fast5,all_fast5,barcode01
UT1B,/path/to/all_fast5,all_fast5,barcode02
UT1C,/path/to/all_fast5,all_fast5,barcode03
UT1D,/path/to/all_fast5,all_fast5,barcode04
UT1E,/path/to/all_fast5,all_fast5,barcode05
UT1F,/path/to/all_fast5,all_fast5,barcode06
UT1G,/path/to/all_fast5,all_fast5,barcode07
UT1H,/path/to/all_fast5,all_fast5,barcode08
UT2A,/path/to/all_fast5,all_fast5,barcode09
UT2B,/path/to/all_fast5,all_fast5,barcode10
UT2C,/path/to/all_fast5,all_fast5,barcode11
UT2D,/path/to/all_fast5,all_fast5,barcode12
UT2E,/path/to/all_fast5,all_fast5,barcode13
UT2F,/path/to/all_fast5,all_fast5,barcode14
UT2G,/path/to/all_fast5,all_fast5,barcode15
UT2H,/path/to/all_fast5,all_fast5,barcode16
UT3A,/path/to/all_fast5,all_fast5,barcode17
UT3B,/path/to/all_fast5,all_fast5,barcode18
UT3C,/path/to/all_fast5,all_fast5,barcode19
UT3D,/path/to/all_fast5,all_fast5,barcode20
UT3E,/path/to/all_fast5,all_fast5,barcode21
UT3F,/path/to/all_fast5,all_fast5,barcode22
UT3G,/path/to/all_fast5,all_fast5,barcode23
UT3H,/path/to/all_fast5,all_fast5,barcode24
