,sample,group,donor,treatment
UT3H.trim.fastq_bracken,UT3H,UT,UT3,Untreated
UT3G.trim.fastq_bracken,UT3G,UT,UT3,Untreated
UT3F.trim.fastq_bracken,UT3F,UT,UT3,Untreated
UT3E.trim.fastq_bracken,UT3E,UT,UT3,Untreated
UT3D.trim.fastq_bracken,UT3D,UT,UT3,Untreated
UT3C.trim.fastq_bracken,UT3C,UT,UT3,Untreated
UT3B.trim.fastq_bracken,UT3B,UT,UT3,Untreated
UT3A.trim.fastq_bracken,UT3A,UT,UT3,Untreated
UT2H.trim.fastq_bracken,UT2H,UT,UT2,Untreated
UT2G.trim.fastq_bracken,UT2G,UT,UT2,Untreated
UT2F.trim.fastq_bracken,UT2F,UT,UT2,Untreated
UT2E.trim.fastq_bracken,UT2E,UT,UT2,Untreated
UT2D.trim.fastq_bracken,UT2D,UT,UT2,Untreated
UT2C.trim.fastq_bracken,UT2C,UT,UT2,Untreated
UT2B.trim.fastq_bracken,UT2B,UT,UT2,Untreated
UT2A.trim.fastq_bracken,UT2A,UT,UT2,Untreated
UT1H.trim.fastq_bracken,UT1H,UT,UT1,Untreated
UT1G.trim.fastq_bracken,UT1G,UT,UT1,Untreated
UT1F.trim.fastq_bracken,UT1F,UT,UT1,Untreated
UT1E.trim.fastq_bracken,UT1E,UT,UT1,Untreated
UT1D.trim.fastq_bracken,UT1D,UT,UT1,Untreated
UT1C.trim.fastq_bracken,UT1C,UT,UT1,Untreated
UT1B.trim.fastq_bracken,UT1B,UT,UT1,Untreated
UT1A.trim.fastq_bracken,UT1A,UT,UT1,Untreated
UT-6H.trim.fastq_bracken,UT-6H,UT,UT-6,Untreated
UT-6G.trim.fastq_bracken,UT-6G,UT,UT-6,Untreated
UT-6F.trim.fastq_bracken,UT-6F,UT,UT-6,Untreated
UT-6E.trim.fastq_bracken,UT-6E,UT,UT-6,Untreated
UT-6D.trim.fastq_bracken,UT-6D,UT,UT-6,Untreated
UT-6C.trim.fastq_bracken,UT-6C,UT,UT-6,Untreated
UT-6B.trim.fastq_bracken,UT-6B,UT,UT-6,Untreated
UT-6A.trim.fastq_bracken,UT-6A,UT,UT-6,Untreated
UT-5H.trim.fastq_bracken,UT-5H,UT,UT-5,Untreated
UT-5G.trim.fastq_bracken,UT-5G,UT,UT-5,Untreated
UT-5F.trim.fastq_bracken,UT-5F,UT,UT-5,Untreated
UT-5E.trim.fastq_bracken,UT-5E,UT,UT-5,Untreated
UT-5D.trim.fastq_bracken,UT-5D,UT,UT-5,Untreated
UT-5C.trim.fastq_bracken,UT-5C,UT,UT-5,Untreated
UT-5B.trim.fastq_bracken,UT-5B,UT,UT-5,Untreated
UT-5A.trim.fastq_bracken,UT-5A,UT,UT-5,Untreated
