sample_name,ONT_sequencer,ONT_reagent_kit,ONT_chemistry,ONT_flowcell,donor,treatment
UT3H,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3G,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3F,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3E,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3D,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3C,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3B,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT3A,GridION,SQK-16S024,R9,FLO-MIN106D,UT3,Untreated
UT2H,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2G,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2F,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2E,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2D,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2C,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2B,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT2A,GridION,SQK-16S024,R9,FLO-MIN106D,UT2,Untreated
UT1H,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1G,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1F,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1E,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1D,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1C,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1B,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT1A,GridION,SQK-16S024,R9,FLO-MIN106D,UT1,Untreated
UT-6H,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6G,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6F,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6E,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6D,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6C,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6B,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-6A,GridION,SQK-16S024,R9,FLO-MIN106D,UT-6,Untreated
UT-5H,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5G,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5F,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5E,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5D,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5C,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5B,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-5A,GridION,SQK-16S024,R9,FLO-MIN106D,UT-5,Untreated
UT-4H,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4G,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4F,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4E,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4D,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4C,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4B,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
UT-4A,GridION,SQK-16S024,R9,FLO-MIN106D,UT-4,Untreated
T2-6H,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6G,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6F,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6E,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6D,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6C,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6B,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-6A,GridION,SQK-16S024,R9,FLO-MIN106D,T2-6,8R
T2-5H,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5G,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5F,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5E,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5D,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5C,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5B,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-5A,GridION,SQK-16S024,R9,FLO-MIN106D,T2-5,8R
T2-4H,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4G,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4F,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4E,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4D,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4C,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4B,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-4A,GridION,SQK-16S024,R9,FLO-MIN106D,T2-4,8R
T2-3H,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3G,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3F,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3E,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3D,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3C,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3B,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-3A,GridION,SQK-16S024,R9,FLO-MIN106D,T2-3,8R
T2-2H,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2G,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2F,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2E,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2D,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2C,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2B,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-2A,GridION,SQK-16S024,R9,FLO-MIN106D,T2-2,8R
T2-1H,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1G,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1F,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1E,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1D,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1C,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1B,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T2-1A,GridION,SQK-16S024,R9,FLO-MIN106D,T2-1,8R
T1-6H,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6G,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6F,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6E,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6D,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6C,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6B,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-6A,GridION,SQK-16S024,R9,FLO-MIN106D,T1-6,1.5R
T1-5H,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5G,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5F,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5E,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5D,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5C,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5B,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-5A,GridION,SQK-16S024,R9,FLO-MIN106D,T1-5,1.5R
T1-4H,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4G,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4F,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4E,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4D,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4C,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4B,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-4A,GridION,SQK-16S024,R9,FLO-MIN106D,T1-4,1.5R
T1-3H,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3G,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3F,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3E,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3D,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3C,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3B,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-3A,GridION,SQK-16S024,R9,FLO-MIN106D,T1-3,1.5R
T1-2H,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2G,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2F,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2E,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2D,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2C,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2B,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-2A,GridION,SQK-16S024,R9,FLO-MIN106D,T1-2,1.5R
T1-1H,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1G,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1F,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1E,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1D,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1C,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1B,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
T1-1A,GridION,SQK-16S024,R9,FLO-MIN106D,T1-1,1.5R
PLA-6H,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6G,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6F,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6E,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6D,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6C,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6B,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-6A,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-6,Placebo
PLA-5H,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5G,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5F,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5E,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5D,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5C,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5B,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-5A,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-5,Placebo
PLA-4H,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4G,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4F,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4E,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4D,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4C,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4B,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-4A,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-4,Placebo
PLA-3H,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3G,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3F,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3E,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3D,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3C,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3B,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-3A,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-3,Placebo
PLA-2H,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2G,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2F,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2E,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2D,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2C,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2B,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-2A,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-2,Placebo
PLA-1H,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1G,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1F,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1E,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1D,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1C,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1B,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
PLA-1A,GridION,SQK-16S024,R9,FLO-MIN106D,PLA-1,Placebo
